gun_index,incident_id,n_guns_involved,gun_stolen,gun_type
550,107305,1,Unknown,9mm
551,105663,1,Unknown,Unknown
552,103258,1,Unknown,Unknown
553,103521,1,Unknown,Unknown
554,105088,1,Unknown,Unknown
555,110653,1,Unknown,Unknown
556,103538,1,Unknown,Unknown
557,103607,1,Unknown,Unknown
558,103777,1,Unknown,Unknown
559,335422,1,Unknown,Shotgun
560,104370,2,Unknown,Other
561,104370,2,Unknown,Other
562,107068,1,Unknown,Handgun
563,103820,1,Unknown,9mm
564,112501,1,Unknown,Unknown
565,104126,1,Unknown,Unknown
566,103704,1,Unknown,Unknown
567,104261,1,Unknown,Unknown
568,104246,1,Unknown,Unknown
569,103979,1,Unknown,Unknown
570,104135,1,Unknown,Unknown
571,103828,2,Unknown,Handgun
572,103828,2,Unknown,Handgun
573,103802,1,Unknown,Unknown
574,104168,1,Unknown,Shotgun
575,112499,1,Unknown,Unknown
576,104184,1,Unknown,Unknown
577,105072,1,Unknown,Unknown
578,458194,1,Stolen,22 LR
579,104030,1,Unknown,Unknown
580,104222,1,Stolen,45 Auto
581,104390,1,Unknown,Unknown
582,207252,1,Unknown,Unknown
583,199472,1,Unknown,Unknown
584,104203,1,Unknown,Unknown
585,104016,1,Unknown,Rifle
586,104212,1,Unknown,Unknown
587,360542,1,Unknown,Unknown
588,104218,1,Unknown,Handgun
589,111195,1,Unknown,Unknown
590,105992,1,Unknown,Unknown
591,106995,1,Unknown,Handgun
592,111203,1,Unknown,Unknown
593,150462,1,Unknown,Unknown
594,104608,1,Unknown,Unknown
595,105060,1,Unknown,Unknown
596,104543,1,Unknown,Shotgun
597,104496,1,Not-stolen,9mm
598,104513,1,Unknown,Unknown
599,150468,1,Unknown,Unknown
600,105283,1,Unknown,Unknown
601,104829,1,Unknown,Unknown
602,105675,1,Unknown,Unknown
603,1000666,1,Unknown,Unknown
604,104625,1,Unknown,Unknown
605,104844,1,Unknown,Unknown
606,105041,1,Unknown,Unknown
607,105553,1,Unknown,Unknown
608,150457,1,Unknown,Unknown
609,445038,2,Unknown,9mm
610,445038,2,Unknown,40 SW
611,111205,1,Unknown,Unknown
612,106402,1,Unknown,Unknown
613,105658,1,Unknown,Unknown
614,105063,1,Unknown,Unknown
615,109723,1,Unknown,Unknown
616,105631,1,Unknown,Unknown
617,105074,1,Unknown,Unknown
618,105258,1,Unknown,Unknown
619,106108,1,Unknown,Unknown
620,105981,1,Unknown,Handgun
621,105534,1,Unknown,Unknown
622,105520,1,Unknown,Rifle
623,105790,1,Unknown,Unknown
624,105780,2,Unknown,38 Spl
625,105780,2,Unknown,40 SW
626,332181,1,Unknown,Unknown
627,105496,1,Unknown,9mm
628,105583,1,Unknown,Unknown
629,107044,1,Unknown,Unknown
630,105409,1,Unknown,Unknown
631,105797,1,Unknown,Unknown
632,935185,1,Unknown,Unknown
633,105311,1,Unknown,Unknown
634,105707,1,Unknown,Unknown
635,106071,1,Unknown,Handgun
636,105599,1,Unknown,Unknown
637,105615,1,Unknown,Unknown
638,105891,1,Unknown,45 Auto
639,106192,1,Unknown,Shotgun
640,105377,1,Unknown,Unknown
641,108431,1,Unknown,Unknown
642,105794,1,Unknown,Unknown
643,106017,1,Unknown,Unknown
644,106044,1,Unknown,Unknown
645,110973,1,Unknown,22 LR
646,112523,1,Unknown,Unknown
647,106266,1,Unknown,Unknown
648,106163,1,Unknown,Unknown
649,450580,1,Unknown,Unknown
650,1057043,1,Unknown,Unknown
651,106519,1,Unknown,Unknown
652,107017,1,Stolen,45 Auto
653,108423,1,Unknown,Unknown
654,106101,1,Unknown,Unknown
655,106048,1,Unknown,38 Spl
656,106394,1,Unknown,Unknown
657,326125,1,Unknown,Handgun
658,106249,1,Unknown,Unknown
659,106751,1,Unknown,Unknown
660,106725,1,Unknown,Unknown
661,107381,1,Unknown,22 LR
662,106361,1,Unknown,Unknown
663,106570,1,Unknown,9mm
664,106763,1,Unknown,40 SW
665,132838,1,Unknown,Unknown
666,106845,1,Unknown,Unknown
667,106933,1,Unknown,Unknown
668,106441,1,Unknown,Unknown
669,111273,1,Unknown,Unknown
670,111279,1,Unknown,Unknown
671,107475,1,Unknown,9mm
672,288064,1,Stolen,380 Auto
673,109288,1,Unknown,Unknown
674,106875,1,Unknown,Unknown
675,112968,1,Unknown,Unknown
676,107456,1,Unknown,Unknown
677,108112,1,Unknown,Unknown
678,130527,1,Unknown,Unknown
679,107819,1,Unknown,Unknown
680,362610,1,Unknown,22 LR
681,107753,1,Unknown,Unknown
682,107503,1,Unknown,Unknown
683,107588,1,Unknown,223 Rem [AR-15]
684,107879,1,Unknown,Unknown
685,107396,1,Unknown,40 SW
686,107591,1,Unknown,Unknown
687,109012,1,Unknown,Unknown
688,107594,1,Unknown,Unknown
689,183975,1,Unknown,Unknown
690,941730,1,Unknown,Unknown
691,107806,1,Unknown,Unknown
692,111308,1,Unknown,Unknown
693,108411,1,Unknown,Unknown
694,112592,1,Unknown,Unknown
695,112591,1,Unknown,Unknown
696,108675,1,Unknown,Unknown
697,108447,1,Unknown,Unknown
698,108145,1,Unknown,Unknown
699,108527,1,Unknown,Unknown
700,107954,1,Unknown,Unknown
701,107949,1,Unknown,Unknown
702,174731,1,Unknown,Unknown
703,108166,1,Unknown,Unknown
704,107984,1,Unknown,Unknown
705,318450,2,Unknown,Unknown
706,318450,2,Unknown,Unknown
707,108391,1,Unknown,Unknown
708,111008,1,Unknown,22 LR
709,802416,1,Unknown,22 LR
710,108389,1,Unknown,Unknown
711,112503,1,Unknown,Unknown
712,110357,1,Unknown,Unknown
713,108476,1,Unknown,Unknown
714,108460,1,Unknown,Unknown
715,108200,1,Unknown,Unknown
716,108300,1,Unknown,Unknown
717,108328,1,Unknown,Unknown
718,109080,1,Unknown,Unknown
719,128589,1,Unknown,Unknown
720,164024,1,Unknown,Unknown
721,109039,1,Unknown,Unknown
722,108987,1,Unknown,Unknown
723,108468,1,Unknown,Unknown
724,118326,1,Unknown,Unknown
725,108439,1,Unknown,Unknown
726,108691,1,Unknown,Unknown
727,108967,1,Unknown,Unknown
728,111017,1,Unknown,Unknown
729,108598,1,Unknown,Unknown
730,110410,1,Unknown,Unknown
731,111319,1,Unknown,Unknown
732,108649,1,Unknown,Unknown
733,110750,1,Unknown,Unknown
734,108984,1,Unknown,Unknown
735,109993,1,Unknown,Unknown
736,109784,1,Unknown,Unknown
737,109082,1,Unknown,Unknown
738,109265,1,Unknown,Unknown
739,110462,1,Unknown,Unknown
740,111734,1,Unknown,Unknown
741,108796,1,Unknown,Unknown
742,109118,1,Unknown,Unknown
743,219964,1,Unknown,Unknown
744,118328,1,Unknown,Unknown
745,110094,1,Unknown,Unknown
746,109856,1,Unknown,Unknown
747,109169,1,Unknown,Unknown
748,109423,1,Unknown,Unknown
749,109757,1,Unknown,Unknown
